PhraseID,phrase,voice,output_file,status
184,Estis agrable konatiĝi kun vi,it-IT-GiuseppeMultilingualNeural,0029_estis_agrable_konatigxi_kun_vi.wav,generated
388,Feliĉan Divalion!,it-IT-GiuseppeMultilingualNeural,0233_felicxan_divalion.wav,generated
551,Ĉu vi trovas teatron aŭ operon pli interesa?,it-IT-GiuseppeMultilingualNeural,0396_cxu_vi_trovas_teatron_aux_operon_pli_interesa.wav,generated
594,Mi sentas min embarasita,it-IT-GiuseppeMultilingualNeural,0439_mi_sentas_min_embarasita.wav,generated
715,Kie estas la oficejo pri perditaj aĵoj?,it-IT-GiuseppeMultilingualNeural,0560_kie_estas_la_oficejo_pri_perditaj_ajxoj.wav,generated
725,Mi estas traŭmatizita,it-IT-GiuseppeMultilingualNeural,0570_mi_estas_trauxmatizita.wav,generated
821,Vi devus turni vin al la oficejo pri perditaj aĵoj,it-IT-GiuseppeMultilingualNeural,0666_vi_devus_turni_vin_al_la_oficejo_pri_perditaj_ajxoj.wav,generated
827,Ĉu vi turniĝis al la oficejo pri perditaj aĵoj?,it-IT-GiuseppeMultilingualNeural,0672_cxu_vi_turnigxis_al_la_oficejo_pri_perditaj_ajxoj.wav,generated
856,Ankaŭ mi ĝojas konatiĝi kun vi,it-IT-GiuseppeMultilingualNeural,0701_ankaux_mi_gxojas_konatigxi_kun_vi.wav,generated
929,Li loĝas en Nov-Zelando jam de ses monatoj,it-IT-GiuseppeMultilingualNeural,0774_li_logxas_en_nov_zelando_jam_de_ses_monatoj.wav,generated
951,Ĝi estas la 14-a de junio,it-IT-GiuseppeMultilingualNeural,0796_gxi_estas_la_14_a_de_junio.wav,generated
957,Mi estas siĥo,it-IT-GiuseppeMultilingualNeural,0802_mi_estas_sihxo.wav,generated
964,Mia naskiĝtago estas la 9-a de februaro,it-IT-GiuseppeMultilingualNeural,0809_mia_naskigxtago_estas_la_9_a_de_februaro.wav,generated
1156,"Sinjoroj, ni povas ludi partion de golfo",it-IT-GiuseppeMultilingualNeural,1001_sinjoroj_ni_povas_ludi_partion_de_golfo.wav,generated
1277,Via nova hararanĝo estas bonega,it-IT-GiuseppeMultilingualNeural,1122_via_nova_hararangxo_estas_bonega.wav,generated
1343,"Ĉu vi havas plumon, kiun mi povus pruntepreni?",it-IT-GiuseppeMultilingualNeural,1188_cxu_vi_havas_plumon_kiun_mi_povus_pruntepreni.wav,generated
1372,En kiu studjaro vi estas?,it-IT-GiuseppeMultilingualNeural,1217_en_kiu_studjaro_vi_estas.wav,generated
1374,Mi estas en mia lasta studjaro,it-IT-GiuseppeMultilingualNeural,1219_mi_estas_en_mia_lasta_studjaro.wav,generated
1397,Ŝi havas diplomon pri administrado,it-IT-GiuseppeMultilingualNeural,1242_sxi_havas_diplomon_pri_administrado.wav,generated
