PhraseID	TopicName_EN	SubtopicName_EN	Esperanto	English	日本語	中文	한국어	Русский язык
5056	Time & Weather	Calendar	La someraj monatoj estas junio, julio kaj aŭgusto	The summer months are June, July and August.	夏の月は6月、7月、8月です。	夏季包括六月、七月和八月。	여름은 6월, 7월, 8월입니다.	Летние месяцы - это июнь, июль и август.
5057	Time & Weather	Calendar	La aŭtunaj monatoj estas septembro, oktobro kaj novembro	The autumn months are September, October and November.	秋の月は9月、10月、11月です。	秋季包括九月、十月和十一月。	가을은 9월, 10월, 11월입니다.	Осенние месяцы - это сентябрь, октябрь и ноябрь.
5058	Time & Weather	Time Expressions	Hodiaŭ tage	Today.	今日	今天	오늘.	Сегодня днём.
5059	Time & Weather	Time Expressions	Ĉiutage	Every day.	毎日。	每天	매일.	Каждый день.
5060	Time & Weather	Time Expressions	Morgaŭ	Tomorrow.	明日。	明天。	내일.	Завтра.
5061	Time & Weather	Time Expressions	Hieraŭ	Yesterday.	昨日	昨天	어제.	Вчера.
5062	Time & Weather	Time Expressions	Ĝuste nun	Right now.	今すぐ。	现在。	지금 바로.	Прямо сейчас.
5063	Time & Weather	Time Expressions	La tutan tagon	All day.	一日中	一整天	하루 종일.	Целый день.
5064	Time & Weather	Time Expressions	Hodiaŭ vespere	Tonight.	今夜	今晚	오늘 밤.	Сегодня вечером.
5065	Time & Weather	Time Expressions	Ĉi tiun semajnon	This week.	今週	本周	이번 주.	На этой неделе.
5066	Time & Weather	Time Expressions	Post unu semajno	In a week.	1週間後に。	一周后	일주일 후에요.	Через неделю.
5067	Time & Weather	Time Expressions	En la venonta monato	Next month.	来月	下个月。	다음 달에.	В следующем месяце.
5068	Time & Weather	Time Expressions	Ĉi-jare	This year.	今年	今年	올해.	В этом году.
5069	Time & Weather	Time Expressions	Antaŭ unu jaro	A year ago.	一年前。	一年前。	1년 전.	Год назад.
5070	Time & Weather	Time Expressions	Hieraŭ nokte	Last night.	昨夜。	昨晚	어젯밤.	Прошлой ночью.
5071	Time & Weather	Time Expressions	Antaŭ unu horo	An hour ago.	1時間前。	一小时前。	한 시간 전에.	Час назад.
5072	Time & Weather	Time Expressions	Matene	In the morning.	朝に	早上	아침에.	Утром.
5073	Time & Weather	Time Expressions	Vespere	In the evening.	夕方に	在晚上	저녁에.	Вечером.
5074	Time & Weather	Time Expressions	Ĉi-posttagmeze	This afternoon.	今日の午後	今天下午	오늘 오후.	Сегодня днём.
5075	Time & Weather	Time Expressions	Por morgaŭ	For tomorrow.	明日のために。	明天用。	내일을 위해.	На завтра.
5076	Time & Weather	Time Expressions	Morgaŭ vespere	Tomorrow night.	明日の夜。	明天晚上。	내일 밤이에요.	Завтра вечером.
5077	Time & Weather	Time Expressions	Post dek tagoj	In ten days.	10日後に。	十天后。	열흘 후에요.	Через десять дней.
5078	Time & Weather	Time Expressions	Du semajnoj	A fortnight.	2週間	两周	2주일	Две недели.
5079	Time & Weather	Time Expressions	Ĉi-monate	This month.	今月	本月	이번 달.	В этом месяце.
5080	Time & Weather	Time Expressions	Kelkaj monatoj	A few months.	数か月ほど。	几个月。	몇 달 정도요.	Несколько месяцев.
5081	Time & Weather	Time Expressions	Antaŭ longe	A long time ago.	昔々	很久以前。	오래전에.	Очень давно.
5082	Time & Weather	Time Expressions	En la antaŭa monato	The previous month.	先月	上个月	지난달	В предыдущем месяце.
5083	Time & Weather	Time Expressions	Antaŭhieraŭ	The day before yesterday.	一昨日	前天	그저께.	Позавчера.
5084	Time & Weather	Time Expressions	Hieraŭ vespere	Yesterday evening.	昨日の夕方。	昨晚	어제 저녁에.	Вчера вечером.
5085	Time & Weather	Time Expressions	Ĉiun kvin minutojn	Every five minutes.	5分ごとに。	每隔五分钟。	5분마다.	Каждые пять минут.
5086	Time & Weather	Time Expressions	Post dek minutoj	In ten minutes.	10分後に。	十分钟后。	10분 후에요.	Через десять минут.
5087	Time & Weather	Time Expressions	Post kelkaj horoj	In a couple of hours.	あと数時間で。	几个小时后。	몇 시간 후에요.	Через пару часов.
5088	Time & Weather	Time Expressions	Por hodiaŭ	For today.	本日は	今天用	오늘을 위해.	На сегодня.
5089	Time & Weather	Time Expressions	Ĉu jam malfrue?	Is it late?	もう遅いですか？	很晚了吗？	늦었나요?	Уже поздно?
5090	Time & Weather	Time Expressions	Nun aŭ poste?	Now or later?	今にしますか？それとも後にしますか？	现在还是以后？	지금 하시겠어요, 아니면 나중에 하시겠어요?	Сейчас или позже?
5091	Time & Weather	Time Expressions	Morgaŭ matene	Tomorrow morning.	明日の朝。	明天早上。	내일 아침에.	Завтра утром.
5092	Time & Weather	Time Expressions	Postmorgaŭ	The day after tomorrow.	明後日	后天	모레.	Послезавтра.
