row	esperanto	column	verdict	status	before	after
1001	lojala	Chinese_Trans	optional_low	applied	忠诚，正直诚实	忠诚，忠实；诚实，正直
1001	lojala	Korean_Trans	optional_low	applied	충성스럽고 성실한	충성스러운, 충실한; 성실하고 정직한
1002	loko	Chinese_Trans	optional_low	applied	地点，处所	地点，场所；地方，土地；（转）地位，立场
1002	loko	Korean_Trans	optional_low	applied	장소, 사람이나 사물이 있는 곳	장소, 위치; 지역, 땅; (비유) 지위, 입장
1008	lukso	Chinese_Trans	optional_medium	applied	奢侈；华丽，繁茂；（物理）勒克斯（照度单位）	奢侈；豪华，华美；（物理）勒克斯（照度单位）
1010	luli	Korean_Trans	optional_low	applied	아기를재우려고흔들다	아기를 재우려고 흔들다; 흔들어 달래다
1013	luno	Chinese_Trans	optional_low	applied	月亮	月亮；（天）卫星
1015	magazeno	Chinese_Trans	optional_medium	applied	仓库，堆栈；百货公司	仓库；大型商店；（枪/相机）弹匣、片盒
1015	magazeno	Korean_Trans	optional_medium	applied	상품을 보관하는 창고	창고; 대형 상점; (총·카메라) 탄창·매거진
1018	majstro	Korean_Trans	optional_low	applied	어떤 분야의 대가, 거장	거장, 대가; (역사) 길드의 장인; (호칭) 대선생
1019	maksimumo	Korean_Trans	optional_low	applied	가능한 한도 가운데 가장 큼	최대치, 최대한; (수학) 최대값
1026	maniero	Korean_Trans	optional_low	applied	방법, 방식	방법, 방식; 양식, 태도
1027	maniko	Korean_Trans	optional_low	applied	옷의 소매	옷소매; (항공) 바람자루
1030	mano	Chinese_Trans	optional_medium	applied	手	手；（转）笔迹；（牌）手牌
1030	mano	Korean_Trans	optional_medium	applied	손, 손바닥	손; (비유) 필체; (카드) 패
1032	manĝi	Chinese_Trans	optional_low	applied	吃	吃；（虫）蛀食；（转）腐蚀，侵蚀
1032	manĝi	Korean_Trans	optional_low	applied	음식을 먹다	먹다; (벌레가) 갉아먹다; (비유) 부식·좀먹다
1033	mapo	Chinese_Trans	optional_medium	applied	地图	地图；（数）映射
1033	mapo	Korean_Trans	optional_medium	applied	지도	지도; (수학) 사상(映射)
1035	marko	Korean_Trans	optional_low	applied	표시나 구분을 위해 쓰이는 기호, 표지；（화폐） 마르크	표시, 표지; 상표, 브랜드; (스포츠) 스타트라인; (화폐) 마르크
1039	marĉo	Korean_Trans	optional_low	applied	늪, 소택	늪, 소택; (비유) 수렁, 곤경
1041	maso	Korean_Trans	optional_medium	applied	뭉쳐 있는 덩어리나 집단	덩어리, 집합; (물리) 질량
1042	masto	Korean_Trans	optional_low	applied	배의 돛대, 마스트	배의 돛대, 마스트; (일반) 지주, 기둥
1043	mastro	Chinese_Trans	optional_medium	applied	主人	主人，业主，雇主；（生）宿主
1043	mastro	Korean_Trans	optional_medium	applied	집이나 사업체의 주인, 소유자	주인, 소유주, 고용주; (생물) 숙주
1046	materialo	Korean_Trans	optional_low	applied	물건을 만드는 재료, 자재	재료, 원자재; 기재, 장비; (비유) 자료, 데이터
1060	mem	Korean_Trans	optional_low	applied	스스로, 자기 자신	스스로, 자기 자신; 자발적으로
1072	meti	Chinese_Trans	optional_medium	applied	放置	放，置；放入；穿戴；使处于…状态
1072	meti	Korean_Trans	optional_medium	applied	어딘가에 놓다, 두다	놓다, 두다; 넣다; 착용하다; …한 상태로 만들다
1075	metro	Chinese_Trans	optional_low	applied	米	米（长度单位）；（文）步格、格律
1075	metro	Korean_Trans	optional_low	applied	길이 단위인 미터	미터(길이 단위); (문학) 운율·격
1084	milda	Korean_Trans	optional_low	applied	성격이 온화하고 부드러운	온화한, 부드러운; (기후·맛) 순한
1089	mineralo	Korean_Trans	optional_low	applied	광물, 무기물	광물; 무기물, 미네랄
1093	mino	Korean_Trans	optional_medium	applied	광산, 광석을 캐는 곳	광산, 갱도; (군사) 지뢰, 기뢰
1098	mistero	Chinese_Trans	optional_low	applied	奥秘	神秘，奥秘；谜，秘密
1100	modelo	Chinese_Trans	optional_low	applied	模型，模特，写生用的实物	模型，原型，范例；（人物）模特；（学）理论模型
